,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
312,312,Krishna Market S.O,110024,DELHI,South Delhi,New Delhi,28.6584248,77.2259243
313,313,Lajpat Nagar (South Delhi) S.O,110024,DELHI,South Delhi,New Delhi,28.5676955,77.2432721
314,314,Lal Kuan B.O,110044,DELHI,South Delhi,New Delhi,28.5856119,77.1487399
315,315,Lodi Road H.O,110003,DELHI,South Delhi,New Delhi,28.5907593,77.2261659
316,316,Madanpur Khadar B.O,110076,DELHI,South Delhi,New Delhi,28.716017,77.028037
317,317,Malviya Nagar S.O (South Delhi),110017,DELHI,South Delhi,New Delhi,28.5308862,77.2110873
318,318,Masjid Moth S.O,110048,DELHI,South Delhi,New Delhi,0,0
319,319,MMTC/STC Colony S.O,110017,DELHI,South Delhi,New Delhi,0,0
320,320,Molarband B.O,110044,DELHI,South Delhi,New Delhi,28.5053734,77.3116215
321,321,Nehru Nagar S.O (South Delhi),110065,DELHI,South Delhi,New Delhi,28.6655738,77.2655836
322,322,Nehru Place S.O,110019,DELHI,South Delhi,New Delhi,28.6655738,77.2655836
323,323,New Delhi South Ext-II S.O,110049,DELHI,South Delhi,New Delhi,28.6139391,77.2090212
324,324,New Friends Colony S.O,110025,DELHI,South Delhi,New Delhi,28.6139391,77.2090212
325,325,Okhla Industrial Area Phase-i S.O,110020,DELHI,South Delhi,New Delhi,28.56028,77.2913315
326,326,Okhla Industrial Estate S.O,110020,DELHI,South Delhi,New Delhi,28.56028,77.2913315
327,327,Panchsheel Enclave S.O,110017,DELHI,South Delhi,New Delhi,28.5429082,77.2143812
328,328,Pragati Vihar S.O,110003,DELHI,South Delhi,New Delhi,28.7440939,77.1994425
329,329,Pratap Market S.O,110014,DELHI,South Delhi,New Delhi,28.661328,77.2660047
330,330,Pul Pahladpur B.O,110044,DELHI,South Delhi,New Delhi,0,0
331,331,Pushp Vihar S.O,110017,DELHI,South Delhi,New Delhi,0,0
332,332,Pushpa Bhawan S.O,110062,DELHI,South Delhi,New Delhi,0,0
333,333,Sadiq Nagar S.O,110049,DELHI,South Delhi,New Delhi,28.5585597,77.2300441
334,334,Safdarjung Air Port S.O,110003,DELHI,South Delhi,New Delhi,28.5821997,77.1871655
335,335,Sahpurjat B.O,110049,DELHI,South Delhi,New Delhi,0,0
336,336,Saket S.O (South Delhi),110017,DELHI,South Delhi,New Delhi,28.5245787,77.206615
337,337,Sangam Vihar S.O,110080,DELHI,South Delhi,South Delhi,28.5700764,77.1664916
338,338,Sant Nagar S.O (South Delhi),110065,DELHI,South Delhi,New Delhi,28.7480713,77.1984854
339,339,Sarita Vihar S.O,110076,DELHI,South Delhi,New Delhi,0,0
340,340,Sarvodya Enclave S.O,110017,DELHI,South Delhi,New Delhi,28.6697793,77.1502707
341,341,South Malviya Nagar S.O,110017,DELHI,South Delhi,New Delhi,28.5086497,77.2175223
342,342,Sriniwaspuri S.O,110065,DELHI,South Delhi,New Delhi,28.56669,77.253103
343,343,Sukhdev Vihar S.O,110025,DELHI,South Delhi,New Delhi,0,0
344,344,Talimabad S.O,110062,DELHI,South Delhi,New Delhi,28.5048895,77.2534469
345,345,Tehkhand B.O,110020,DELHI,South Delhi,New Delhi,0,0
346,346,Tugalkabad B.O,110044,DELHI,South Delhi,New Delhi,28.5048843,77.2739385
347,347,Tugalkabad Railway Colony S.O,110044,DELHI,South Delhi,New Delhi,28.5048843,77.2739385
